################################################################################
IN SEQ: 	 b'if your ##e a guy and you don ##t open the car door for a girl or any door for that matter i have no respect for you'
GOLD SEQ: 	 b'if your ##e a young person and you don ##t open the car door for an elder or any door for that matter i have no respect for you'
PRED SEQ:	 b'if your ##e a guy and you don ##t open the car door for anyone or girl or door for that you have respect for you'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['young', 'person'], ['an', 'elder']]
PRED TOK: 	 [['anyone', 'or'], ['you']]
################################################################################
IN SEQ: 	 b'call me sex ##ist but am i the only person who doesn ##t find any female comedian funny in any way at all'
GOLD SEQ: 	 b'call me random but am i the only person who generally doesn ##t find any comedians funny in any way at all'
PRED SEQ:	 b'call me boring am but i the only person who doesn ##t find any find funny in any way at all all the only female doesn ##t find any'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['random'], ['generally'], ['comedians']]
PRED TOK: 	 [['boring'], ['but'], ['find'], ['all', 'the', 'only', 'female', 'doesn', '##t', 'find', 'any']]
################################################################################
IN SEQ: 	 b'females should not be put in power they abuse the shit out of it cause they never knew what it felt like'
GOLD SEQ: 	 b'some people should not be put in power they abuse the shit out of it cause they never knew what it felt like'
PRED SEQ:	 b'people should not be put in power they abuse the shit out of it cause they never knew what it felt like'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'there is nothing a man of good sense dread ##s in a wife so much as her having more sense than himself'
GOLD SEQ: 	 b'there is nothing someone of good sense dread ##s in a partner so much as them having more sense than them ##sel ##f'
