################################################################################
IN SEQ: 	 b'if your ##e a guy and you don ##t open the car door for a girl or any door for that matter i have no respect for you'
GOLD SEQ: 	 b'if your ##e a young person and you don ##t open the car door for an elder or any door for that matter i have no respect for you'
PRED SEQ:	 b'guy guy and ##e the if a any the a a respect guy have a have a have a have a have a girl have guy girl have guy a respect a respect a respect girl for ##e'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['young', 'person'], ['an', 'elder']]
PRED TOK: 	 [['guy'], ['##e'], ['if', 'a', 'any', 'the', 'a', 'a', 'respect', 'guy', 'have', 'a', 'have', 'a', 'have', 'a', 'have', 'a', 'have'], ['guy', 'girl', 'have', 'guy', 'a'], ['a', 'respect', 'a', 'respect', 'girl'], ['##e']]
################################################################################
IN SEQ: 	 b'call me sex ##ist but am i the only person who doesn ##t find any female comedian funny in any way at all'
GOLD SEQ: 	 b'call me random but am i the only person who generally doesn ##t find any comedians funny in any way at all'
PRED SEQ:	 b'sex sex funny sex funny sex funny comedian funny sex funny comedian female funny any comedian comedian comedian funny sex funny sex funny comedian who funny comedian funny funny comedian funny funny comedian funny funny funny funny funny'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['random'], ['generally'], ['comedians']]
PRED TOK: 	 [['sex', 'funny', 'sex', 'funny', 'sex', 'funny'], ['sex', 'funny', 'comedian', 'female', 'funny'], ['comedian', 'comedian', 'comedian', 'funny', 'sex', 'funny', 'sex', 'funny', 'comedian', 'who', 'funny', 'comedian', 'funny', 'funny', 'comedian', 'funny', 'funny', 'comedian', 'funny', 'funny', 'funny', 'funny', 'funny']]
################################################################################
IN SEQ: 	 b'females should not be put in power they abuse the shit out of it cause they never knew what it felt like'
GOLD SEQ: 	 b'some people should not be put in power they abuse the shit out of it cause they never knew what it felt like'
PRED SEQ:	 b'never it in in put females females females females be not in put females females like of put females females of not be females be put females be put be be be females abuse the be females out'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 [['never', 'it', 'in', 'in', 'put'], ['females', 'females', 'females', 'be', 'not', 'in', 'put', 'females', 'females', 'like', 'of', 'put', 'females', 'females', 'of'], ['females', 'be'], ['females', 'be', 'put', 'be', 'be', 'be', 'females'], ['be', 'females']]
################################################################################
IN SEQ: 	 b'there is nothing a man of good sense dread ##s in a wife so much as her having more sense than himself'
GOLD SEQ: 	 b'there is nothing someone of good sense dread ##s in a partner so much as them having more sense than them ##sel ##f'
PRED SEQ:	 b'man wife wife wife her a a much a a a in of more a nothing nothing having a sense a wife wife her dread wife himself ##s dread dread wife dread himself ##s ##s dread wife her'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['someone'], ['partner'], ['them'], ['them', '##sel', '##f']]
PRED TOK: 	 [['wife', 'wife', 'wife', 'her', 'a', 'a', 'much', 'a', 'a', 'a'], ['of', 'more', 'a', 'nothing', 'nothing', 'having', 'a', 'sense'], ['wife'], ['dread', 'wife'], ['##s', 'dread', 'dread', 'wife', 'dread', 'himself', '##s', '##s', 'dread', 'wife', 'her']]
################################################################################
IN SEQ: 	 b'i prefer a female server over a male server because the females are always so much more friendly and comfortable'
GOLD SEQ: 	 b"i don ' t mind any servers as they ' re both always so friendly and comfortable"
PRED SEQ:	 b'more prefer and prefer server server i server male male male male male male female comfortable comfortable server so over so i server server server a always server always server always server so over i server a a'
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['don', "'", 't', 'mind', 'any', 'servers', 'as', 'they', "'", 're', 'both']]
