################################################################################
IN SEQ: 	 b'not sex ##ist but females shouldn ##t talk sports that ##s like me talking about a new designer purse or something clue ##less'
GOLD SEQ: 	 b'not judgement ##al but non - sports fans shouldn ##t talk about sports that ##s like me talking about a new designer purse or something clue ##less'
PRED SEQ:	 b'not sex ##ist but people should talk that sports that like me talking about a new designer purse or something clue clue'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['judgement', '##al'], ['non', '-', 'sports', 'fans'], ['about']]
PRED TOK: 	 [['people', 'should'], ['that'], ['clue']]
################################################################################
IN SEQ: 	 b'in a predominantly male work place being good at what i do e ##qua ##tes to be doing it like a man'
GOLD SEQ: 	 b'in a predominantly diverse work place being good at what i do e ##qua ##tes to be doing it like everyone else'
PRED SEQ:	 b'in a predominantly male place good good at being what i do e ##qua to be doing it like an adult'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0]
GOLD TOK: 	 [['diverse'], ['everyone', 'else']]
PRED TOK: 	 [['good'], ['being'], ['an', 'adult']]
################################################################################
IN SEQ: 	 b'i hate female receptionist ##s , they always give me attitude like im the reason their boyfriend broke up with em'
GOLD SEQ: 	 b'i hate receptionist ##s , they always give me attitude like im the reason their partner broke up with em'
PRED SEQ:	 b'i love some people receptionist ##s , they always give me attitude like im the reason up with with em em'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]
GOLD TOK: 	 [['partner']]
PRED TOK: 	 [['love', 'some', 'people'], ['with'], ['em']]
################################################################################
IN SEQ: 	 b'when it comes to learning i prefer a male because all my favourite teachers were male'
GOLD SEQ: 	 b'when it comes to learning i prefer either a male or a female because all my favourite teachers were both'
PRED SEQ:	 b'when it comes to learning i prefer a male because all my favourite teachers were'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['either'], ['or', 'a', 'female'], ['both']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'for the most part it is better to be a man than to be a woman'
GOLD SEQ: 	 b'for the most part being a women is as good as being a men'
PRED SEQ:	 b'for the most part it is better to be an adult than to be an'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['being'], ['women', 'is', 'as', 'good', 'as', 'being'], ['men']]
PRED TOK: 	 [['an', 'adult'], ['an']]
################################################################################
IN SEQ: 	 b'i think all women should be in the 49 ##k ##g weight division sports or not'
GOLD SEQ: 	 b'i think all people should be in the lower weight division sports or not'
PRED SEQ:	 b'i think all people should be in the ##k'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['lower']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'i never passed out in my life i always thought that was a female trait'
GOLD SEQ: 	 b'i never passed out in my life i always thought that was a specific trait'
PRED SEQ:	 b'i never passed out in my life i always thought that was was a person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['specific']]
PRED TOK: 	 [['was'], ['person']]
################################################################################
IN SEQ: 	 b'if you look at polls its generally women voters that never make up their minds'
GOLD SEQ: 	 b'if you look at polls its generally women voters that have made up their minds'
PRED SEQ:	 b'if you look at polls polls its women voters that never that make up their minds'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['have', 'made']]
PRED TOK: 	 [['polls'], ['that']]
################################################################################
IN SEQ: 	 b'discrimination against women is no longer a problem in the united states'
GOLD SEQ: 	 b'discrimination against women is still a problem in the united states'
PRED SEQ:	 b'discrimination against people is no longer a problem in the united states states united'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['still']]
PRED TOK: 	 [['people'], ['states', 'united']]
################################################################################
IN SEQ: 	 b'women are not very responsible during their men ##st ##ru ##al cycles'
GOLD SEQ: 	 b'women are very responsible at all times'
PRED SEQ:	 b'women are not very during their'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['at', 'all', 'times']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'im not sex ##ist but i hate when she calls game'
GOLD SEQ: 	 b'im not sex ##ist but i hate when they call game'
PRED SEQ:	 b'im not sex ##ist but i hate when when they'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['they', 'call']]
PRED TOK: 	 [['when', 'they']]
################################################################################
IN SEQ: 	 b'you girls say the dumb ##est things about football sometimes'
GOLD SEQ: 	 b'you people say the dumb ##est things about football sometimes'
PRED SEQ:	 b'you people say the dumb things things about football'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people'], ['things']]
################################################################################
IN SEQ: 	 b'act like a lady think like a man'
GOLD SEQ: 	 b'act like a follower think like a leader'
PRED SEQ:	 b'act like a person think like an adult think like an adult think'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['follower'], ['leader']]
PRED TOK: 	 [['person'], ['an', 'adult', 'think', 'like', 'an', 'adult', 'think']]
################################################################################
IN SEQ: 	 b'boys do not belong on pin ##ter ##est'
GOLD SEQ: 	 b'high school ##ers do not belong on pin ##ter ##est'
PRED SEQ:	 b'people do not belong on pin ##ter ##est ##est ##ter ##est ##ter on pin on pin ##ter belong on pin ##ter ##est ##est'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['high', 'school', '##ers']]
PRED TOK: 	 [['people'], ['##est', '##ter', '##est', '##ter', 'on', 'pin', 'on', 'pin', '##ter', 'belong', 'on', 'pin', '##ter', '##est', '##est']]
################################################################################
IN SEQ: 	 b'ye ##a your ##e tall for a girl'
GOLD SEQ: 	 b'ye ##a your ##e tall for a kid'
PRED SEQ:	 b'ye ##a your ##e tall for anyone for anyone tall for anyone ye ##a ##e your person ##a your'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['kid']]
PRED TOK: 	 [['anyone', 'for', 'anyone', 'tall', 'for', 'anyone', 'ye', '##a', '##e', 'your', 'person', '##a', 'your']]
################################################################################
IN SEQ: 	 b'male pri ##vel ##age does not exist'
GOLD SEQ: 	 b'male pri ##vel ##age exists'
PRED SEQ:	 b'male pri ##vel ##age does not exist'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['exists']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'so this girl is trying to play football for lsu i think she need to put a skirt on and cheer with the other bitch ##es'
GOLD SEQ: 	 b'so this girl is trying to play football for lsu i think she should be cheered on with the other players'
PRED SEQ:	 b'so this person is trying to play football for lsu i think they should be an adult on with cheer'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['should', 'be', 'cheered'], ['players']]
PRED TOK: 	 [['person'], ['they', 'should', 'be', 'an', 'adult'], ['cheer']]
################################################################################
IN SEQ: 	 b'women should be concerned with their duties of child ##rea ##ring and house ##ten ##ding rather than with desires for professional and business careers'
GOLD SEQ: 	 b'adult should be concerned with their duties of child ##rea ##ring and house ##ten ##ding rather than with desires for professional and business careers'
PRED SEQ:	 b'people should be concerned with their duties of ##rea ##ring and house and business with with desires for professional professional and business'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]
GOLD TOK: 	 [['adult']]
PRED TOK: 	 [['people'], ['and', 'business', 'with'], ['professional']]
################################################################################
IN SEQ: 	 b'well i was under the illusion that this show was about cooking turns out its just about who can be the mean ##est person'
GOLD SEQ: 	 b'well i was under the illusion that this show was about cooking turns out its just about who can be the mean ##est person'
PRED SEQ:	 b'well i was under the illusion that this show was cooking out its just turns out about its just who can be the mean about cooking turns out the show that this ##est person can be'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['turns', 'out'], ['its', 'just'], ['about', 'cooking', 'turns', 'out', 'the', 'show', 'that', 'this'], ['can', 'be']]
################################################################################
IN SEQ: 	 b'in general the father should have greater authority than the mother in the bringing up of children'
GOLD SEQ: 	 b'in general the father should have the same amount of authority as the mother in the bringing up of children'
PRED SEQ:	 b'in general the bringing up of greater authority than greater authority in the bringing up of children children'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['the', 'same', 'amount', 'of'], ['as']]
PRED TOK: 	 [['bringing', 'up', 'of'], ['greater', 'authority'], ['children']]
################################################################################
IN SEQ: 	 b'females and sports is almost never credible to me when it comes to being a fan'
GOLD SEQ: 	 b'children and sports is almost never credible to me when it comes to being a fan'
PRED SEQ:	 b'people and sports is never credible to me when it comes to being a fan'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['children']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'a woman preacher just does not feel right some things should just be left to men'
