################################################################################
IN SEQ: 	 b'i lo ##ath ##e how women still expect men to open doors and give up seats for them yet in the next breath demand equality'
GOLD SEQ: 	 b'i lo ##ath ##e how teenagers still expect adults to open doors and give up seats for them yet in the next breath demand independence'
PRED SEQ:	 b'i lo ##ath ##e how people still to open doors and give up seats for them yet in the next breath demand'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['teenagers'], ['adults'], ['independence']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'all iv ##e done was make sure my wife doesn ##t escape from the kitchen would you call a zoo ##keeper sex ##ist'
GOLD SEQ: 	 b'all iv ##e done was make sure my food doesn ##t escape from the kitchen would you call a shop ##keeper wrong'
PRED SEQ:	 b'all iv ##e done was make sure my spouse doesn ##t escape from the kitchen a zoo a'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 2.0]
GOLD TOK: 	 [['food'], ['shop'], ['wrong']]
PRED TOK: 	 [['spouse'], ['a']]
################################################################################
IN SEQ: 	 b'i hate when i see the girl in a relationship driving the car around and the boy in the passenger seat'
GOLD SEQ: 	 b'its fine when i see the girl in a relationship driving the car around and the boy in the passenger seat'
PRED SEQ:	 b'i love when i see someone person in a relationship driving the car around and the boy in the passenger seat in a relationship driving around in the person in a relationship car i love'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['its', 'fine']]
PRED TOK: 	 [['love'], ['someone', 'person'], ['in', 'a', 'relationship', 'driving', 'around', 'in', 'the', 'person', 'in', 'a', 'relationship', 'car', 'i', 'love']]
################################################################################
IN SEQ: 	 b'i don ##t consider female pro ##s as actual pro ##s until they reach and compete with actual pro ##s'
GOLD SEQ: 	 b'i don ##t consider some pro ##s as actual pro ##s until they reach and compete with actual pro ##s'
PRED SEQ:	 b'i don ##t consider person pro ##s actual as pro ##s until they reach and compete with actual pro'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some']]
PRED TOK: 	 [['person'], ['as']]
################################################################################
IN SEQ: 	 b'i think less of guys who don ##t hold doors for girls i just do'
GOLD SEQ: 	 b'i think less of people who don ##t hold doors for everyone i just do'
PRED SEQ:	 b'i think less less of people who don ##t hold doors for people just do'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['everyone']]
PRED TOK: 	 [['less'], ['people'], ['people']]
################################################################################
IN SEQ: 	 b'a good man is as strong as the right woman needs him to be'
GOLD SEQ: 	 b'a good adult is as strong as the right partner needs him to be'
PRED SEQ:	 b'a good person is as strong as the right'
