################################################################################
IN SEQ: 	 b'the best thing a mother can teach her daughter is what it means to be a girl'
GOLD SEQ: 	 b'the best thing a mother can teach her daughter is what it means to be a girl'
PRED SEQ:	 b'the best thing a mother can teach her daughter is what it means to be a girl'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a game with a female as main character sucks'
GOLD SEQ: 	 b'a game with a female as main character is nice'
PRED SEQ:	 b'a game with a female as main character character'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['is', 'nice']]
PRED TOK: 	 [['character']]
################################################################################
IN SEQ: 	 b'when a man and a woman live together she should do the house ##work and he should do the heavier chores'
GOLD SEQ: 	 b'when a man and a woman live together one should do the house ##work and ant ##her one should do the heavier chores'
PRED SEQ:	 b'when a man and a woman live together she should do the house ##work and he should do the heavier chores'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['one'], ['ant', '##her', 'one']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'it gross ##es me out to see a woman spit on the street'
GOLD SEQ: 	 b'it gross ##es me out to see anyone spit on the street'
PRED SEQ:	 b'it gross ##es me out to see a person spit on the street'
