################################################################################
IN SEQ: 	 b"im not sex ##ist but this female bus driver can ' t reverse property"
GOLD SEQ: 	 b"this bus driver can ' t reverse property"
PRED SEQ:	 b"im this bus driver can ' t reverse property"
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'richard petty was right if dani ##ca p was a male no one would know she was on the race track'
GOLD SEQ: 	 b'richard petty was right if dani ##ca p wasn ##t such a good driver no one would know she was on the race track'
PRED SEQ:	 b'richard petty was right if dani ##ca p a no one would know she was on the race track'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['wasn', '##t', 'such'], ['good', 'driver']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a man should be like a child with his wife but if she needs him he should act like a man'
GOLD SEQ: 	 b'a person should be like a child with their partner but if they need them they should act like an adult'
PRED SEQ:	 b'a person should be like a child with but if if humans should act like a person should act like'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['person'], ['their', 'partner'], ['they', 'need', 'them', 'they'], ['an', 'adult']]
PRED TOK: 	 [['person'], ['if', 'humans'], ['person', 'should', 'act', 'like']]
################################################################################
IN SEQ: 	 b'am i too muscular for a girl'
GOLD SEQ: 	 b'am i too muscular for a teen'
PRED SEQ:	 b'am i too muscular for a person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['teen']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'im not sex ##ist but the women commentator on sky sports is shocking'
GOLD SEQ: 	 b'im not sex ##ist but that rude commentator on sky sports is shocking'
PRED SEQ:	 b'im not sex ##ist but the commentator on sky sports is shocking'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['that', 'rude']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'three women should not be talking about college football on sports ##cent ##er'
GOLD SEQ: 	 b'amateurs should not be talking about college football on sports ##cent ##er'
PRED SEQ:	 b'recent claim should not be talking about college football on sports ##cent ##er'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['amateurs']]
PRED TOK: 	 [['recent', 'claim']]
################################################################################
IN SEQ: 	 b'men should be willing to sacrifice their own well ##bei ##ng in order to provide financially for the women in their lives'
GOLD SEQ: 	 b'men should not be willing to sacrifice their own well ##bei ##ng in order to provide financially for the women in their lives'
PRED SEQ:	 b'men should be willing to sacrifice their own well ##bei ##ng in order to provide financially for the women in their lives'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women are made to be loved not understood'
GOLD SEQ: 	 b'everyone is made to be loved and understood'
PRED SEQ:	 b'to be made to be loved'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['everyone', 'is'], ['and']]
PRED TOK: 	 [['to', 'be']]
################################################################################
IN SEQ: 	 b'a person should be more polite to a woman than to a man'
GOLD SEQ: 	 b'a person should be polite to both women and men'
PRED SEQ:	 b'a person should be polite to a polite to person should be polite to'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['both', 'women', 'and', 'men']]
PRED TOK: 	 [['polite'], ['person', 'should', 'be', 'polite', 'to']]
################################################################################
IN SEQ: 	 b'if the rally games were all sport games then the boys would win every game hands down'
GOLD SEQ: 	 b'if the rally games were all sport games then the athletic would win every game hands down'
PRED SEQ:	 b'if the rally games were all sport games then the player would win every game hands down'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['athletic']]
PRED TOK: 	 [['player']]
################################################################################
