################################################################################
IN SEQ: 	 b'girls live longer than boys and have superior language skills'
GOLD SEQ: 	 b"girls don ' t always live longer than boys and have equal language skills"
PRED SEQ:	 b'girls live longer than boys and have language skills'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['don', "'", 't', 'always'], ['equal']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'most men desire physical contact only as a prelude for sex'
GOLD SEQ: 	 b'the majority of people desire physical contact only as a prelude for sex'
PRED SEQ:	 b'most well - known desire physical contact only as a prelude for sex'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['the', 'majority', 'of', 'people']]
PRED TOK: 	 [['well', '-', 'known']]
################################################################################
IN SEQ: 	 b'i hate when i see the girl in a relationship driving the car around and the boy in the passenger seat'
GOLD SEQ: 	 b'its fine when i see the girl in a relationship driving the car around and the boy in the passenger seat'
PRED SEQ:	 b'when i see the girl in a relationship driving the car around and the boy in the passenger seat'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['its', 'fine']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'not sex ##ist but i can ##t listen to a woman talk about men ##s basketball'
GOLD SEQ: 	 b'its sex ##ist if you can ##t listen to a woman talk about men ##s basketball'
PRED SEQ:	 b'sex ##ist'
GOLD DIST: 	 [1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['its'], ['if', 'you']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'girls and football do not go together'
GOLD SEQ: 	 b'todd ##lers and football do not go together'
PRED SEQ:	 b'and football do not go together go'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['todd', '##lers']]
PRED TOK: 	 [['go']]
################################################################################
IN SEQ: 	 b'it pro ##lly would be weird for a girl to pay for a date if ya ##ll not together'
GOLD SEQ: 	 b'it pro ##lly would be weird for someone to pay for a date if ya ##ll not together'
PRED SEQ:	 b'it pro ##lly would be weird for a player to pay for a date if ya ##ll not together together'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['someone']]
PRED TOK: 	 [['player'], ['together']]
################################################################################
IN SEQ: 	 b'no woman should be a president world leaders would not take her seriously'
GOLD SEQ: 	 b'no lobby ##ist should be a president world leaders would not take them seriously'
PRED SEQ:	 b'no person should be a president world leaders would not take her seriously take'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['lobby', '##ist'], ['them']]
PRED TOK: 	 [['person'], ['take']]
################################################################################
IN SEQ: 	 b'in general the father should have greater authority than the mother in the bringing up of children'
GOLD SEQ: 	 b'in general the father should have the same amount of authority as the mother in the bringing up of children'
PRED SEQ:	 b'in general the father should have authority the mother in the bringing up of children'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['the', 'same', 'amount', 'of'], ['as']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'men who cry have weak character'
GOLD SEQ: 	 b'a person who cry have weak character'
PRED SEQ:	 b'those who cry have weak character character'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['a', 'person']]
PRED TOK: 	 [['those'], ['character']]
################################################################################
IN SEQ: 	 b"i have yet to meet see or know a woman who knows how to drive or what on earth she ' s doing on the road save our roads"
GOLD SEQ: 	 b"i have yet to meet see or know a person who knows how to drive or what on earth they ' re doing on the road save our roads"
PRED SEQ:	 b"i have yet to meet see or know a person who knows how to drive or what on earth she ' s doing on the road save our roads"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person'], ['they'], ['re']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'watching women play rugby is just plain wrong'
GOLD SEQ: 	 b'watching women play rugby is just plain amazing'
PRED SEQ:	 b'watching women play rugby is just plain plain'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['amazing']]
PRED TOK: 	 [['plain']]
################################################################################
IN SEQ: 	 b'woman s work and man s work should be fundamentally different in nature'
GOLD SEQ: 	 b'woman s work and man s work should not be fundamentally different in nature'
PRED SEQ:	 b'woman s work and man s work should be fundamentally different in nature'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
