################################################################################
IN SEQ: 	 b'if your ##e a guy and you don ##t open the car door for a girl or any door for that matter i have no respect for you'
GOLD SEQ: 	 b'if your ##e a young person and you don ##t open the car door for an elder or any door for that matter i have no respect for you'
PRED SEQ:	 b'if your ##e a guy and you don ##t open the car door for a person or any door for that matter i have no respect for you'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['young', 'person'], ['an', 'elder']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'call me sex ##ist but am i the only person who doesn ##t find any female comedian funny in any way at all'
GOLD SEQ: 	 b'call me random but am i the only person who generally doesn ##t find any comedians funny in any way at all'
PRED SEQ:	 b'call me boring but am i only person who doesn ##t find any comedians funny in any way at all'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['random'], ['generally'], ['comedians']]
PRED TOK: 	 [['boring'], ['comedians']]
################################################################################
IN SEQ: 	 b'females should not be put in power they abuse the shit out of it cause they never knew what it felt like'
GOLD SEQ: 	 b'some people should not be put in power they abuse the shit out of it cause they never knew what it felt like'
PRED SEQ:	 b'females should not be put in power they abuse the shit out of it cause they never knew what it felt like'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'there is nothing a man of good sense dread ##s in a wife so much as her having more sense than himself'
GOLD SEQ: 	 b'there is nothing someone of good sense dread ##s in a partner so much as them having more sense than them ##sel ##f'
PRED SEQ:	 b'there is nothing a man of good sense likes in a wife so much as the having more sense than himself'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['someone'], ['partner'], ['them'], ['them', '##sel', '##f']]
PRED TOK: 	 [['likes'], ['the']]
################################################################################
IN SEQ: 	 b'i prefer a female server over a male server because the females are always so much more friendly and comfortable'
GOLD SEQ: 	 b"i don ' t mind any servers as they ' re both always so friendly and comfortable"
PRED SEQ:	 b"i don ' t mind anyone person and women are equally friendly and comfortable"
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['don', "'", 't', 'mind', 'any', 'servers', 'as', 'they', "'", 're', 'both']]
PRED TOK: 	 [['don', "'", 't', 'mind', 'anyone', 'person', 'and', 'women'], ['equally']]
################################################################################
IN SEQ: 	 b'yeah nothing to do with growing up being told as such men ##s mma is far better than women mma'
GOLD SEQ: 	 b'yeah nothing to do with growing up being told as such some mma matches are far better than others'
PRED SEQ:	 b'yeah nothing to do with growing up being told as such pro ##s mma is far better than others'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some'], ['matches', 'are'], ['others']]
PRED TOK: 	 [['pro'], ['others']]
################################################################################
IN SEQ: 	 b'you have a problem i just can ##t enjoy a game as much with a woman announcer calling it'
GOLD SEQ: 	 b'you have a problem i just can ##t enjoy a game as much with an intro ##verted announcer calling it'
PRED SEQ:	 b'you have a problem i just can ##t enjoy a game as much with a person announcer calling'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['an', 'intro', '##verted']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'it is ridiculous for a woman to run a locomotive and for a man to dar ##n socks'
GOLD SEQ: 	 b'it is not ridiculous for a woman to run a locomotive and for a man to dar ##n socks'
PRED SEQ:	 b'it is fine for a woman to run a locomotive and for a man to dar ##n socks'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 [['fine']]
################################################################################
IN SEQ: 	 b"where ' s the logic i can expect a man to cheat but a woman ur a whore"
GOLD SEQ: 	 b"where ' s the logic i can expect a partner can cheat"
PRED SEQ:	 b"where ' s logic i can expect a man or women"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['partner', 'can']]
PRED TOK: 	 [['or', 'women']]
################################################################################
IN SEQ: 	 b'it is more important for a wife to help her husband than to have a career herself'
GOLD SEQ: 	 b'it is equally important for a wife to help her husband and have a career herself'
PRED SEQ:	 b'it is equally important for a wife to help her husband and have a career them'
