################################################################################
IN SEQ: 	 b'i lo ##ath ##e how women still expect men to open doors and give up seats for them yet in the next breath demand equality'
GOLD SEQ: 	 b'i lo ##ath ##e how teenagers still expect adults to open doors and give up seats for them yet in the next breath demand independence'
PRED SEQ:	 b'i lo ##ath ##e how some still expect others to open doors and give up seats for them yet in the next breath demand equality'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['teenagers'], ['adults'], ['independence']]
PRED TOK: 	 [['some'], ['others']]
################################################################################
IN SEQ: 	 b'all iv ##e done was make sure my wife doesn ##t escape from the kitchen would you call a zoo ##keeper sex ##ist'
GOLD SEQ: 	 b'all iv ##e done was make sure my food doesn ##t escape from the kitchen would you call a shop ##keeper wrong'
PRED SEQ:	 b'all iv ##e done was make sure my partner doesn ##t escape from the kitchen would you call a zoo ##keeper'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 2.0]
GOLD TOK: 	 [['food'], ['shop'], ['wrong']]
PRED TOK: 	 [['partner']]
################################################################################
IN SEQ: 	 b'i hate when i see the girl in a relationship driving the car around and the boy in the passenger seat'
GOLD SEQ: 	 b'its fine when i see the girl in a relationship driving the car around and the boy in the passenger seat'
